STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,DAPR,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/5/2023,,,,,0.43,0,0,,84,69,70
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/6/2023,,,,,0,0,0,,92,70,71
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/7/2023,,,,,0,0,0,,92,71,74
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/8/2023,,,,,0,0,0,,88,72,73
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/9/2023,,,,,0,0,0,,87,72,73
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/10/2023,,,,,1.96,0,0,,81,69,69
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/11/2023,,,,,0,0,0,,84,63,67
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/12/2023,,,,,0,0,0,,88,66,67
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/13/2023,,,,,0,0,0,,91,67,68
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/14/2023,,,,,0,0,0,,91,68,71
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/15/2023,,,,,1.58,0,0,,87,67,67
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/16/2023,,,,,0.2,0,0,,89,67,76
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/17/2023,,,,,1,0,0,,78,71,71
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/18/2023,,,,,0,0,0,,88,68,68
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/19/2023,,,,,0,0,0,,84,68,68
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/20/2023,,,,,0,0,0,,81,67,68
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/21/2023,,,,,0.63,0,0,,86,66,67
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/22/2023,,,,,0,0,0,,84,63,64
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/23/2023,,,,,0,0,0,,82,60,61
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/24/2023,,,,,0,0,0,,86,61,66
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/25/2023,,,,,0,0,0,,86,66,68
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/26/2023,,,,,0.24,0,0,,87,62,63
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/27/2023,,,,,0,0,0,,86,63,72
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/28/2023,,,,,0.05,0,0,,89,72,73
